Conf_Decision Tree,Margin_Decision Tree,Conf_Random Forest,Margin_Random Forest,Conf_SVM,Margin_SVM,Conf_Naive Bayes,Margin_Naive Bayes,Target_Model_Index,Target_Model_Name
1.0,1.0,1.0,1.0,0.9999127816238255,0.9998255632476508,1.0,0.9999999999999999,0,Decision Tree
1.0,1.0,1.0,1.0,0.9997621436357867,0.9995242872715734,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9997603370165854,0.9995206740331707,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9996619924410998,0.9993239848821995,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9833229479898741,0.9666458959797483,0.9999999820112502,0.9999999640225005,0,Decision Tree
1.0,1.0,1.0,1.0,0.9956508062239385,0.9913016124478771,0.9999836369580236,0.9999672739160476,0,Decision Tree
1.0,1.0,1.0,1.0,0.9922484390495335,0.9844968780990672,0.999999999999993,0.9999999999999861,0,Decision Tree
1.0,1.0,1.0,1.0,0.9997992356237583,0.9995984712475167,1.0,1.0,0,Decision Tree
1.0,1.0,0.96,0.9199999999999999,0.9795085484850367,0.9590170969700732,0.9999931242144071,0.9999862484288142,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998876610070944,0.9997753220141886,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9952991145894664,0.9905982291789328,1.0,1.0,0,Decision Tree
1.0,1.0,0.98,0.96,0.9585887844771921,0.9171775689543842,0.9999999988083933,0.9999999976167862,0,Decision Tree
1.0,1.0,0.63,0.26,0.9056453805308913,0.8112907610617827,0.9999999999631797,0.9999999999263586,0,Decision Tree
1.0,1.0,1.0,1.0,0.9980017540757702,0.9960035081515404,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.999514850409127,0.9990297008182542,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.998766998994173,0.9975339979883461,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999386291006473,0.9998772582012947,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9994893044275063,0.9989786088550124,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998403916104034,0.9996807832208069,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999398905783087,0.9998797811566175,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9988821745961722,0.9977643491923446,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999585129211536,0.9999170258423072,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9947664426062435,0.9895328852124867,0.9999998664132522,0.999999732826504,0,Decision Tree
1.0,1.0,1.0,1.0,0.9997767538987675,0.9995535077975352,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998937138537451,0.9997874277074903,0.9999999999964899,0.999999999992979,0,Decision Tree
1.0,1.0,1.0,1.0,0.9563759399446969,0.912751879889394,0.9999999958112787,0.9999999916225571,0,Decision Tree
1.0,1.0,1.0,1.0,0.9371920747086081,0.8743841494172162,0.9999999995106634,0.9999999990213267,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999288916103466,0.9998577832206932,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9995703014660136,0.9991406029320272,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9997673556106464,0.9995347112212929,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999540200478068,0.9999080400956134,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998681304370853,0.9997362608741706,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999255601690403,0.9998511203380808,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998017570008403,0.9996035140016806,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9405563080140656,0.8811126160281314,1.0,1.0,0,Decision Tree
1.0,1.0,0.97,0.94,0.9432676806766244,0.8865353613532487,0.9999997867433109,0.9999995734866216,0,Decision Tree
1.0,1.0,1.0,1.0,0.9997718740530404,0.9995437481060806,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999196174799013,0.9998392349598026,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999295722439934,0.9998591444879867,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9997346387078221,0.9994692774156441,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.999696822617765,0.9993936452355301,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9997186671739113,0.9994373343478227,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999270156571604,0.9998540313143208,1.0,0.9999999999999998,0,Decision Tree
1.0,1.0,1.0,1.0,0.9958193132365206,0.9916386264730414,0.9999986129020357,0.9999972258040715,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999291780262731,0.9998583560525461,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999421463463788,0.9998842926927576,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998945140035467,0.9997890280070933,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9690877357959621,0.9381754715919242,0.9999999967959231,0.9999999935918461,0,Decision Tree
1.0,1.0,0.99,0.98,0.9995862823061328,0.9991725646122656,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9992749850440644,0.9985499700881288,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999157212273173,0.9998314424546346,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999449655206688,0.9998899310413375,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9324442123575029,0.8648884247150057,0.9999999999999992,0.999999999999998,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999372760836918,0.9998745521673835,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9861465370023402,0.9722930740046805,0.9999990900889825,0.9999981801779653,0,Decision Tree
1.0,1.0,1.0,1.0,0.9996430452949422,0.9992860905898843,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.99987514268874,0.99975028537748,0.9999999999999174,0.9999999999998346,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998569012184787,0.9997138024369575,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.999944791877171,0.9998895837543421,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9807231114193935,0.961446222838787,0.9999994580607771,0.9999989161215542,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999509219451964,0.9999018438903929,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999202293925916,0.9998404587851832,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9987476162485532,0.9974952324971064,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998557975277194,0.9997115950554387,1.0,1.0,0,Decision Tree
1.0,1.0,0.91,0.8200000000000001,0.9561405697112515,0.912281139422503,0.9999999977001944,0.9999999954003889,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999199433970452,0.9998398867940902,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9994177842860756,0.9988355685721512,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9984797224856178,0.9969594449712356,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9997967648395999,0.9995935296791998,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998156350091594,0.9996312700183188,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998939595491595,0.999787919098319,1.0,1.0,0,Decision Tree
1.0,1.0,0.99,0.98,0.9997485391945177,0.9994970783890353,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998825569024153,0.9997651138048306,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9990365916673912,0.9980731833347826,1.0,1.0,0,Decision Tree
